features,cv_cappa_1,cv_cappa_2,cv_cappa_3,cv_cappa_4,cv_cappa_5,mean,std
all-ts,0.6132158909306318,0.6155605480619233,0.5962593621274109,0.5826700768596815,0.5793151570685987,0.5974042070096492,0.01677260458063941
all-ts-event,0.6089459651635366,0.6159151970028255,0.592546804537778,0.5858625709593525,0.5672448746553771,0.5941030824637739,0.01928581645290194
all,0.6103692737525683,0.6107727873597424,0.5880917354302183,0.581251190593161,0.5754100656996153,0.5931790105670611,0.01649950597417794
event+cnt+pert+cat,0.602007335792007,0.6035024840712455,0.5812235038893973,0.5738020376939288,0.5699074369524113,0.586088559679798,0.015756810580614004
cnt+perf+cat,0.6036085579546677,0.6008426170144784,0.580295364491989,0.5725605122107236,0.5660023455834278,0.5846618794510572,0.016841026101056627
event+cnt+perf+user,0.46181143977238315,0.455968524655895,0.45703845251617325,0.44698907762366635,0.40482857453629173,0.44532721382088186,0.023264897853246418
event+cnt+perf+user+var,0.46145561262512524,0.4552592267740905,0.45128398825224214,0.4480532423235567,0.40695862437391905,0.4446021388697868,0.021628710722330306
event+cnt+perf+var,0.4445538231303736,0.44266918937205935,0.4405175712423064,0.42996244242542125,0.38725566337586614,0.4289917379092053,0.02400488592808921
event+cnt+perf,0.4390385023478758,0.44521093648211296,0.4395894318448982,0.4300886608777914,0.38991822567290024,0.4287691514451157,0.022383062064862118
event+cnt,0.4385047616269888,0.43273901902679535,0.4202841323788066,0.4310266071253116,0.3792679764847635,0.4203644993285332,0.02389983810292793
cnt+perf+user+var,0.4404618109369075,0.41092810916130484,0.42900864271444417,0.4331549365250922,0.3829955637006114,0.419309812607672,0.023033342253109556
cnt+perf+user,0.43423483585989375,0.41655517850743173,0.43049366575029735,0.4313813286919417,0.38104301801611973,0.4187416053651368,0.022157829715215037
cnt+user,0.4310323915345724,0.403657805872808,0.42251166693258635,0.43741159532465346,0.37323283527815276,0.41356925898855457,0.025877831442818192
cnt+perf+var,0.423204194294898,0.3940822844684463,0.4155869534443073,0.41488677584364186,0.3693277439091692,0.4034175903920925,0.02191124640420131
cnt+perf,0.42249254000038206,0.3947915823502509,0.4199128766198432,0.41098483861071067,0.3636651375081116,0.4023693950178597,0.024199087654365254
cnt,0.4159097377761104,0.39142241741167916,0.40153571655115994,0.415596218976902,0.35583742827086273,0.39606030379734286,0.024723581161262234
cnt+var,0.4155539106288525,0.39018114611852117,0.40487701838182955,0.41668049170510213,0.3507219633444614,0.3956029060357533,0.0272580761389601
cnt+ts,0.412885207024418,0.3806056247141595,0.39782315896152687,0.4106301170440806,0.35352987428009974,0.3910947964048569,0.024611317046921505
perf+var,0.33567071606944754,0.285382384081896,0.30073977799262386,0.3093571097711856,0.2821732047195836,0.30266463852694736,0.021543389893179263
perf,0.3109407293350215,0.26729528809587955,0.2827338736829038,0.2999569882554878,0.25839913614706456,0.28386520310327146,0.021888308671176877
perf+ts,0.3045358406843788,0.2765161605593389,0.28312369675127536,0.29108894908973515,0.2633577644872087,0.2837244823143874,0.015447265526287156
event,0.26913103953221496,0.27048712856400003,0.2760512700215644,0.25402054537688923,0.28110817980076996,0.2701596326590877,0.010200704277344956
user,0.2020576222740954,0.1579547810359283,0.17545051711837878,0.20019319151551462,0.1914668346437981,0.18542458931754305,0.01861014916692737
var,0.15839668129055828,0.14529605242549348,0.13423157009758369,0.12032359148174199,0.11321721743086532,0.13429302254524855,0.0183125051079635
ts,0.1371191678995235,0.07312499295187858,0.052926558884620944,0.08676932671079474,0.08727364457668119,0.08744273820469979,0.031082930230676636
