features,cv_cappa_1,cv_cappa_2,cv_cappa_3,cv_cappa_4,cv_cappa_5,mean,std
cnt+perf+user,0.2806173540207315,0.263356075551219,0.2794152439073533,0.30220382465476225,0.25790201358448406,0.27669890234371003,0.017353586739990313
cnt+perf+user+var,0.27522413110640653,0.27173190103906164,0.28102534682235647,0.2976099869664338,0.24993985769146,0.27510624472514367,0.017220636699462555
cnt+user,0.2676382263704067,0.26384556765912703,0.2808225868075942,0.2872380560388883,0.27069506393631027,0.2740479001624653,0.009699092851559845
cnt+perf+var,0.2682110389730912,0.2649241330110612,0.2722043948448708,0.2931876790580977,0.2390041532410876,0.2675062798256417,0.019372286511538894
cnt+perf,0.26271492281359843,0.26379178310350504,0.26912305437281014,0.2916178752830759,0.24318370698349778,0.2660862685112974,0.017336687777312187
cnt+var,0.2576703306859136,0.25357224074445817,0.26992712896689564,0.2878827903357558,0.2493541193074693,0.2636813220080985,0.015558883729853028
all,0.2605079397458552,0.25281258703623855,0.26345619576358836,0.29626559212253456,0.2443170081427568,0.2634718645621947,0.019778412379123055
cnt,0.2604155216005276,0.24459069515806864,0.2687542197855698,0.2909842402221834,0.2448214785962085,0.2619132310725115,0.019276696335428823
cnt+ts,0.24980811337738695,0.24880377022164535,0.2556582804055335,0.27395378913511426,0.24271786690744634,0.2541883640094253,0.011964378736860331
perf+var,0.214669225850329,0.18253629956183703,0.1879370136879348,0.21659312953041288,0.17315981730390106,0.19497909718688294,0.019591852185833026
perf,0.20606221054341733,0.16599805909419996,0.17280024435771046,0.2119949920694495,0.15952065955175432,0.18327523312330632,0.02406541497412253
perf+ts,0.18577036672547276,0.1456828667060457,0.16025335034677002,0.1767375702604832,0.14177280864103892,0.16204339253596212,0.019109263402215988
user,0.12221570245235436,0.07625771771333345,0.06791057643889897,0.11404137244235013,0.08819830563232933,0.09372473493585325,0.023592953821010017
var,0.07430733704709203,0.060206081607893314,0.062305276476053884,0.06317244812482681,0.06437139083344745,0.06487250681786269,0.005489160548574902
ts,0.03526013661716765,0.0,0.0,0.01874484457177139,0.01898794965938866,0.014598586169665539,0.014913040214715796
