features,cv_cappa_1,cv_cappa_2,cv_cappa_3,cv_cappa_4,cv_cappa_5,mean,std
event+cnt+perf+user+var,0.4196490476846325,0.4216082908464228,0.42693742089554876,0.41330383258486714,0.39202017852704196,0.41470375410770266,0.013585797185002184
all,0.4160173764404683,0.4225390171934762,0.41429996175020045,0.40457758330528437,0.39346375643774656,0.41017953902543525,0.011342555103577961
event+cnt+perf,0.39358020397829707,0.40688418102585266,0.41071049637020185,0.4018875889768624,0.37767442745426316,0.39814737956109536,0.013116341248995331
event+cnt+perf+var,0.3908590935324302,0.4095074769474768,0.41502495258817207,0.39878241414629767,0.3710830433622526,0.39705139611532586,0.0172764222380489
event+cnt,0.39429402758340215,0.4173174444535266,0.40704916948979364,0.3939599929166754,0.3708750808001905,0.39669914304871756,0.01740981845837063
cnt+perf+user+var,0.40799782580413213,0.37656679244231694,0.4032112608571802,0.4060106092984571,0.3702276085651641,0.39280281939345013,0.017936821783686007
cnt+perf+user,0.4091068373003268,0.3681059524395648,0.41064656264734267,0.401541382105955,0.37277352717655443,0.39243485233394876,0.020439015612073237
cnt+user,0.4050141855046169,0.36589368758060825,0.40206482608086525,0.39976051480656694,0.36115507873198494,0.3867776585409285,0.021374516386592456
event+cnt+perf+user,0.399321315441046,0.3668040284472398,0.4073862107930316,0.39254282630564363,0.36676024682469366,0.38656292556233096,0.01880628241696851
cnt+perf,0.3906351869020399,0.36650364081829356,0.38686394377135724,0.38433525494770915,0.3627152640006628,0.3782106580880125,0.012687793812733486
cnt+perf+var,0.3909381706092485,0.36051407672217384,0.3967112392168065,0.38782684422378166,0.35183928970953904,0.37756592409630996,0.020020438091296118
cnt+var,0.38965143650489453,0.3615992908999489,0.3881902504524024,0.3890938981000107,0.3480405745259817,0.37531509009664765,0.019320833831229022
cnt,0.38779524181615654,0.36493708918116363,0.3860813766838136,0.38289319291088,0.3494679475662741,0.3742349696316576,0.016575879576773648
cnt+ts,0.39067756502461937,0.3586074332904702,0.3797058878476469,0.38147897305279854,0.34548818088386435,0.3711916080198799,0.018554332249190265
perf+var,0.30893609759231866,0.2640919833743315,0.2923391449541245,0.2931202025533348,0.26532224912725944,0.28476193552027385,0.01947314285920596
event,0.25195958155616427,0.259655761049999,0.23439313631136416,0.23571789102277418,0.2596835256353157,0.24828197911512345,0.01248638460772781
perf,0.2637401152220106,0.23565914203570748,0.25152506646692174,0.24874953799360555,0.22744388926414028,0.24542355019647713,0.014163325209247717
perf+ts,0.26858272027574126,0.2286552165425968,0.23558368814215036,0.24480809236877832,0.21704418837198236,0.2389347811402498,0.019426743191502276
user,0.20099101066305924,0.12821949900849372,0.12600273561020225,0.18209059119280702,0.13904304661285538,0.15526937661748352,0.03413711803529479
var,0.128436479961333,0.10989191767976703,0.1018415079552728,0.11811657344055593,0.11337100971759517,0.11433149775090479,0.009873064046916364
ts,0.1126543320488178,0.0,0.002529601718721297,0.05432328355195348,0.08010900521694064,0.04992324450728665,0.04900055498732333
